状态,ACTION,,,,,,,,,,,,GOTO,,,,,
,id,(,),+,-,*,=,int,return,IntConst,Semicolon,$,E,S_list,S,A,B,D
0,shift 4,,,,,,,shift 5,shift 6,,,,,1,2,,,3
1,,,,,,,,,,,,accept,,,,,,
2,,,,,,,,,,,shift 7,,,,,,,
3,shift 8,,,,,,,,,,,,,,,,,
4,,,,,,,shift 9,,,,,,,,,,,
5,reduce D -> int,,,,,,,,,,,,,,,,,
6,shift 13,shift 14,,,,,,,,shift 15,,,10,,,11,12,
7,shift 4,,,,,,,shift 5,shift 6,,,reduce S_list -> S Semicolon,,16,2,,,3
8,,,,,,,,,,,reduce S -> D id,,,,,,,
9,shift 13,shift 14,,,,,,,,shift 15,,,17,,,11,12,
10,,,,shift 18,shift 19,,,,,,reduce S -> return E,,,,,,,
11,,,,reduce E -> A,reduce E -> A,shift 20,,,,,reduce E -> A,,,,,,,
12,,,,reduce A -> B,reduce A -> B,reduce A -> B,,,,,reduce A -> B,,,,,,,
13,,,,reduce B -> id,reduce B -> id,reduce B -> id,,,,,reduce B -> id,,,,,,,
14,shift 24,shift 25,,,,,,,,shift 26,,,21,,,22,23,
15,,,,reduce B -> IntConst,reduce B -> IntConst,reduce B -> IntConst,,,,,reduce B -> IntConst,,,,,,,
16,,,,,,,,,,,,reduce S_list -> S Semicolon S_list,,,,,,
17,,,,shift 18,shift 19,,,,,,reduce S -> id = E,,,,,,,
18,shift 13,shift 14,,,,,,,,shift 15,,,,,,27,12,
19,shift 13,shift 14,,,,,,,,shift 15,,,,,,28,12,
20,shift 13,shift 14,,,,,,,,shift 15,,,,,,,29,
21,,,shift 30,shift 31,shift 32,,,,,,,,,,,,,
22,,,reduce E -> A,reduce E -> A,reduce E -> A,shift 33,,,,,,,,,,,,
23,,,reduce A -> B,reduce A -> B,reduce A -> B,reduce A -> B,,,,,,,,,,,,
24,,,reduce B -> id,reduce B -> id,reduce B -> id,reduce B -> id,,,,,,,,,,,,
25,shift 24,shift 25,,,,,,,,shift 26,,,34,,,22,23,
26,,,reduce B -> IntConst,reduce B -> IntConst,reduce B -> IntConst,reduce B -> IntConst,,,,,,,,,,,,
27,,,,reduce E -> E + A,reduce E -> E + A,shift 20,,,,,reduce E -> E + A,,,,,,,
28,,,,reduce E -> E - A,reduce E -> E - A,shift 20,,,,,reduce E -> E - A,,,,,,,
29,,,,reduce A -> A * B,reduce A -> A * B,reduce A -> A * B,,,,,reduce A -> A * B,,,,,,,
30,,,,reduce B -> ( E ),reduce B -> ( E ),reduce B -> ( E ),,,,,reduce B -> ( E ),,,,,,,
31,shift 24,shift 25,,,,,,,,shift 26,,,,,,35,23,
32,shift 24,shift 25,,,,,,,,shift 26,,,,,,36,23,
33,shift 24,shift 25,,,,,,,,shift 26,,,,,,,37,
34,,,shift 38,shift 31,shift 32,,,,,,,,,,,,,
35,,,reduce E -> E + A,reduce E -> E + A,reduce E -> E + A,shift 33,,,,,,,,,,,,
36,,,reduce E -> E - A,reduce E -> E - A,reduce E -> E - A,shift 33,,,,,,,,,,,,
37,,,reduce A -> A * B,reduce A -> A * B,reduce A -> A * B,reduce A -> A * B,,,,,,,,,,,,
38,,,reduce B -> ( E ),reduce B -> ( E ),reduce B -> ( E ),reduce B -> ( E ),,,,,,,,,,,,
